data;

set FABRICANTE := CORONAVAC ASTRAZENECA;
set GRUPO := GP1	GP2	GP3	GP4	GP5	GP6	GP7	GP8	GP9	GP10	GP11	GP12	GP13	GP14	GP15	GP16	GP17	GP18	GP19	GP20	GP21	GP22	GP23	GP24	GP25;
set DOSE := D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast;
set UNIDADE := AC AL AM AP BH CE DF MG RS SP SIMU1 SIMU2 SIMU3 SIMU4 SIMU5 SIMU6 SIMU7 SIMU8 SIMU9 SIMU10 SIMU11 SIMU12 SIMU13 SIMU14 SIMU15 SIMU16 SIMU17;

#utilizando valores para teste, teoricamente será apenas 2 (CORONOVAC e ASTRAZENECA)
param estoque:=
	CORONAVAC 60000000
	ASTRAZENECA 60000000;

 
param fabricanteDose:
           		D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
   CORONAVAC     1			1				1					0				0
   ASTRAZENECA   1			0				0					1				1;


param peso (tr):
	D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1	 0.083 	 0.138 	 0.192 	 0.138 	 0.192 
GP2	 0.082 	 0.137 	 0.191 	 0.137 	 0.191 
GP3	 0.081 	 0.136 	 0.190 	 0.136 	 0.190 
GP4	 0.080 	 0.134 	 0.189 	 0.134 	 0.189 
GP5	 0.079 	 0.133 	 0.188 	 0.133 	 0.188 
GP6	 0.078 	 0.132 	 0.187 	 0.132 	 0.187 
GP7	 0.077 	 0.131 	 0.186 	 0.131 	 0.186 
GP8	 0.076 	 0.130 	 0.185 	 0.130 	 0.185 
GP9	 0.075 	 0.129 	 0.184 	 0.129 	 0.184 
GP10	 0.074 	 0.128 	 0.183 	 0.128 	 0.183 
GP11	 0.073 	 0.127 	 0.182 	 0.127 	 0.182 
GP12	 0.071 	 0.126 	 0.181 	 0.126 	 0.181 
GP13	 0.070 	 0.125 	 0.180 	 0.125 	 0.180 
GP14	 0.069 	 0.124 	 0.178 	 0.124 	 0.178 
GP15	 0.068 	 0.123 	 0.177 	 0.123 	 0.177 
GP16	 0.067 	 0.122 	 0.176 	 0.122 	 0.176 
GP17	 0.066 	 0.121 	 0.175 	 0.121 	 0.175 
